id,date,product_id,employee_id,quantity,unit_price,total_amount,payment_method,customer_type
1,2023-01-01,14,15,3,1299.0,3897.0,MobilePay,Premium
2,2023-01-01,1,1,2,12999.0,25998.0,MobilePay,Regular
3,2023-01-01,2,21,1,8492.51,8492.51,Cash,Regular
4,2023-01-01,12,9,2,1599.0,3198.0,MobilePay,Student
5,2023-01-01,4,16,3,15999.0,47997.0,Card,Student
6,2023-01-01,6,14,1,399.0,399.0,Card,Regular
7,2023-01-01,8,11,3,5469.18,16407.54,Bank Transfer,Premium
8,2023-01-01,9,9,1,899.0,899.0,Card,Student
9,2023-01-01,21,18,1,1999.0,1999.0,Card,Regular
10,2023-01-01,24,8,1,1899.0,1899.0,MobilePay,Student
11,2023-01-01,23,6,1,3299.0,3299.0,Cash,Student
12,2023-01-01,5,23,4,3499.0,13996.0,Bank Transfer,Premium
13,2023-01-01,3,7,4,24999.0,99996.0,Card,New
14,2023-01-01,1,19,1,12999.0,12999.0,MobilePay,Regular
15,2023-01-01,25,3,3,935.47,2806.41,MobilePay,Student
16,2023-01-01,2,19,1,8999.0,8999.0,Card,Student
17,2023-01-01,15,19,2,1299.0,2598.0,MobilePay,New
18,2023-01-01,4,13,1,15999.0,15999.0,Bank Transfer,New
19,2023-01-01,24,3,1,1899.0,1899.0,Card,Regular
20,2023-01-01,12,17,1,1599.0,1599.0,Card,Premium
21,2023-01-01,6,6,1,399.0,399.0,Cash,Regular
22,2023-01-01,15,18,1,1299.0,1299.0,MobilePay,New
23,2023-01-01,2,4,2,8999.0,17998.0,Cash,Premium
24,2023-01-01,17,7,2,799.0,1598.0,Bank Transfer,New
25,2023-01-01,23,2,1,3299.0,3299.0,Cash,Regular
26,2023-01-01,1,25,1,12999.0,12999.0,MobilePay,Student
27,2023-01-01,12,14,2,1216.82,2433.64,MobilePay,Regular
28,2023-01-01,22,19,2,8999.0,17998.0,Card,New
29,2023-01-01,6,2,3,399.0,1197.0,MobilePay,Regular
30,2023-01-01,6,18,3,399.0,1197.0,MobilePay,Premium
31,2023-01-01,22,6,3,7223.38,21670.14,Cash,Student
32,2023-01-01,21,24,3,1999.0,5997.0,Card,Student
33,2023-01-01,22,16,1,8999.0,8999.0,Bank Transfer,New
34,2023-01-01,5,8,1,3499.0,3499.0,Bank Transfer,New
35,2023-01-01,4,3,4,15999.0,63996.0,Bank Transfer,New
